Strain,Stress (MPa)
0.000325095,55.45061803
0.000325475,55.55133681
0.000325855,55.6520556
0.000326236,55.75277438
0.000326616,55.85349317
0.000326996,55.95421195
0.000327376,56.05493074
0.000327756,56.15564952
0.000328137,56.25636831
0.000328517,56.3570871
0.000328897,56.45780588
0.000329277,56.55852467
0.000329657,56.65924345
0.000330038,56.75996224
0.000330418,56.86068102
0.000330798,56.96139981
0.000331558,57.07646008
0.000332319,57.19152034
0.000333079,57.30658061
0.00033384,57.42164087
0.0003346,57.53670114
0.000335361,57.6517614
0.000336121,57.76682167
0.000336882,57.88188193
0.000337642,57.9969422
0.000338403,58.11200246
0.000339163,58.22706273
0.000339924,58.34212299
0.000340684,58.45718326
0.000341445,58.57224352
0.000342205,58.68730379
0.000342965,58.80236405
0.000343726,58.91742432
0.000344486,59.03248458
0.000345247,59.14754485
0.000346007,59.26260511
0.000346768,59.37766538
0.000347528,59.49272564
0.000348289,59.60778591
0.000349049,59.72284617
0.00034981,59.83790644
0.00035057,59.9529667
0.000351331,60.06802697
0.000352091,60.18308723
0.000352852,60.2981475
0.000353612,60.41320776
0.000354372,60.49947559
0.000355133,60.58574342
0.000355893,60.67201125
0.000356654,60.75827908
0.000357414,60.84454691
0.000358175,60.93081474
0.000358935,61.01708257
0.000359696,61.1033504
0.000360456,61.18961823
0.000361217,61.27588606
0.000361977,61.36215389
0.000362738,61.44842172
0.000363498,61.53468955
0.000364259,61.62095738
0.000365019,61.70722521
0.000365779,61.79349303
0.00036654,61.87976086
0.0003673,61.96602869
0.000368061,62.05229652
0.000368821,62.13856435
0.000369582,62.22483218
0.000370342,62.31110001
0.000371103,62.39736784
0.000371863,62.48363567
0.000372624,62.5699035
0.000373384,62.65617133
0.000374145,62.74243916
0.000374905,62.82870699
0.000375666,62.91497482
0.000376426,63.00124265
0.000377186,63.14509535
0.000377947,63.28894805
0.000378707,63.43280075
0.000379468,63.57665345
0.000380228,63.72050615
0.000380989,63.86435885
0.000381749,64.00821155
0.00038251,64.15206426
0.00038327,64.29591696
0.000384031,64.43976966
0.000384791,64.58362236
0.000385552,64.72747506
0.000386312,64.87132776
0.000387073,65.01518046
0.000387833,65.15903316
0.000388593,65.30288586
0.000389354,65.44673856
0.000390114,65.59059126
0.000390875,65.73444396
0.000391635,65.87829666
0.000392396,66.02214936
0.000393156,66.16600206
0.000393917,66.30985477
0.000394677,66.45370747
0.000395438,66.59756017
0.000396198,66.74141287
0.000396959,66.88526557
0.000397719,67.02911827
0.00039848,67.17297097
0.00039924,67.31682367
0.00039962,67.43193867
0.0004,67.54705368
0.000400381,67.66216868
0.000400761,67.77728368
0.000401141,67.89239869
0.000401521,68.00751369
0.000401901,68.12262869
0.000402282,68.2377437
0.000402662,68.3528587
0.000403042,68.4679737
0.000403422,68.58308871
0.000403802,68.69820371
0.000404183,68.81331871
0.000404563,68.92843372
0.000404943,69.04354872
0.000405323,69.15866372
0.000405703,69.27377873
0.000406084,69.38889373
0.000406464,69.50400873
0.000406844,69.61912374
0.000407224,69.73423874
0.000407604,69.84935374
0.000407985,69.96446875
0.000408365,70.07958375
0.000408745,70.19469875
0.000409125,70.30981376
0.000409505,70.42492876
0.000409886,70.54004376
0.000410266,70.65515877
0.000410646,70.77027377
0.000411787,70.91407173
0.000412927,71.05786969
0.000414068,71.20166766
0.000415209,71.34546562
0.00041635,71.48926358
0.00041749,71.63306154
0.000418631,71.7768595
0.000419772,71.92065747
0.000420912,72.06445543
0.000422053,72.20825339
0.000423194,72.35205135
0.000424334,72.49584931
0.000425475,72.63964728
0.000426616,72.78344524
0.000427757,72.9272432
0.000428897,73.07104116
0.000430038,73.21483912
0.000431179,73.35863709
0.000432319,73.50243505
0.00043346,73.64623301
0.000434601,73.79003097
0.000435741,73.93382893
0.000436882,74.0776269
0.000438023,74.22142486
0.000439164,74.36522282
0.000440304,74.50902078
0.000441445,74.65281874
0.000442586,74.79661671
0.000443726,74.94041467
0.000444867,75.08421263
0.000445247,75.18493142
0.000445627,75.2856502
0.000446008,75.38636899
0.000446388,75.48708777
0.000446768,75.58780656
0.000447148,75.68852535
0.000447529,75.78924413
0.000447909,75.88996292
0.000448289,75.9906817
0.000448669,76.09140049
0.00044905,76.19211928
0.00044943,76.29283806
0.00044981,76.39355685
0.00045019,76.49427563
0.000450571,76.59499442
0.000450951,76.69571321
0.000451331,76.79643199
0.000451711,76.89715078
0.000452091,76.99786956
0.000452472,77.09858835
0.000452852,77.19930714
0.000453232,77.30002592
0.000453612,77.40074471
0.000453993,77.50146349
0.000454373,77.60218228
0.000454753,77.70290107
0.000455133,77.80361985
0.000455514,77.90433864
0.000455894,78.00505742
0.000456274,78.10577621
0.000457034,78.20644026
0.000457795,78.3071043
0.000458555,78.40776835
0.000459316,78.5084324
0.000460076,78.60909645
0.000460837,78.70976049
0.000461597,78.81042454
0.000462357,78.91108859
0.000463118,79.01175264
0.000463878,79.11241668
0.000464639,79.21308073
0.000465399,79.31374478
0.00046616,79.41440883
0.00046692,79.51507287
0.000467681,79.61573692
0.000468441,79.71640097
0.000469201,79.81706501
0.000469962,79.91772906
0.000470722,80.01839311
0.000471483,80.11905716
0.000472243,80.2197212
0.000473004,80.32038525
0.000473764,80.4210493
0.000474524,80.52171335
0.000475285,80.62237739
0.000476045,80.72304144
0.000476806,80.82370549
0.000477566,80.92436954
0.000478327,81.02503358
0.000479087,81.12569763
0.000479847,81.2407579
0.000480608,81.35581816
0.000481368,81.47087843
0.000482129,81.58593869
0.000482889,81.70099896
0.00048365,81.81605922
0.00048441,81.93111949
0.000485171,82.04617975
0.000485931,82.16124002
0.000486692,82.27630028
0.000487452,82.39136055
0.000488213,82.50642081
0.000488973,82.62148108
0.000489734,82.73654134
0.000490494,82.85160161
0.000491254,82.96666187
0.000492015,83.08172213
0.000492775,83.1967824
0.000493536,83.31184267
0.000494296,83.42690293
0.000495057,83.5419632
0.000495817,83.65702346
0.000496578,83.77208373
0.000497338,83.88714399
0.000498099,84.00220426
0.000498859,84.11726452
0.00049962,84.23232478
0.00050038,84.34738505
0.000501141,84.46244532
0.000501901,84.57750558
0.000502281,84.67822437
0.000502661,84.77894315
0.000503042,84.87966194
0.000503422,84.98038072
0.000503802,85.08109951
0.000504182,85.18181829
0.000504563,85.28253708
0.000504943,85.38325587
0.000505323,85.48397465
0.000505703,85.58469344
0.000506084,85.68541222
0.000506464,85.78613101
0.000506844,85.88684979
0.000507224,85.98756858
0.000507605,86.08828737
0.000507985,86.18900615
0.000508365,86.28972494
0.000508745,86.39044372
0.000509125,86.49116251
0.000509506,86.59188129
0.000509886,86.69260008
0.000510266,86.79331886
0.000510646,86.89403765
0.000511027,86.99475644
0.000511407,87.09547522
0.000511787,87.19619401
0.000512167,87.29691279
0.000512548,87.39763158
0.000512928,87.49835036
0.000513308,87.59906915
0.000514068,87.68533698
0.000514829,87.77160481
0.000515589,87.85787264
0.00051635,87.94414047
0.00051711,88.0304083
0.000517871,88.11667613
